Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
60,Jaren Jackson Jr.,C,24,MEM,66,2124,17.4,.552,.315,.359,4.2,15.0,9.4,13.1,1.8,4.7,10.6,30.4,,0.2,2.8,3.0,.067,,0.0,0.4,0.4,1.3,jacksja02
61,Jusuf Nurkić,C,29,PHO,76,2078,17.4,.559,.144,.416,12.8,31.7,22.8,19.9,1.9,3.4,19.1,19.1,,2.0,3.8,5.8,.133,,-1.0,2.1,1.1,1.6,nurkiju01
62,Kelly Olynyk,C,32,TOT,78,1759,17.4,.661,.312,.362,6.7,19.0,12.9,27.6,2.0,1.5,20.9,17.5,,3.5,1.4,4.9,.133,,0.7,1.1,1.8,1.7,olynyke01
63,Paul Reed,C,24,PHI,82,1590,17.4,.580,.119,.177,13.2,20.9,16.9,9.8,2.1,4.8,11.5,15.9,,2.5,2.6,5.1,.154,,-0.6,1.0,0.4,0.9,reedpa01
64,Paolo Banchero,PF,21,ORL,80,2799,17.3,.546,.249,.397,3.4,20.0,11.6,25.2,1.3,1.6,13.0,29.7,,1.3,4.0,5.3,.090,,1.3,0.0,1.3,2.3,banchpa01
65,Terry Rozier,PG-SG,29,TOT,61,2040,17.3,.555,.411,.198,1.9,12.0,6.8,27.5,1.5,1.0,8.9,25.9,,2.3,1.6,3.9,.091,,2.2,-0.7,1.5,1.8,roziete01
66,Cade Cunningham,PG,22,DET,62,2074,17.1,.546,.287,.235,1.7,12.9,7.2,37.5,1.3,0.9,14.1,30.8,,0.7,1.0,1.8,.041,,2.0,-1.6,0.3,1.2,cunnica01
67,Jonathan Kuminga,PF,21,GSW,74,1949,17.0,.598,.191,.347,5.2,14.4,9.8,12.5,1.4,1.7,10.9,24.1,,2.7,1.9,4.6,.113,,0.0,-0.4,-0.4,0.8,kuminjo01
68,Derrick White,SG,29,BOS,73,2381,16.9,.611,.590,.181,2.4,11.3,7.0,21.2,1.5,3.2,11.0,18.6,,5.2,3.3,8.5,.171,,2.4,1.4,3.8,3.5,whitede01
69,Aaron Gordon,PF,28,DEN,73,2297,16.8,.607,.193,.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,,4.5,2.6,7.1,.148,,1.2,0.1,1.3,1.9,gordoaa01
70,Immanuel Quickley,PG-SG,24,TOT,68,1985,16.7,.577,.484,.274,0.9,13.7,7.2,24.6,1.2,0.5,9.2,23.8,,3.5,1.2,4.7,.115,,2.2,-0.9,1.3,1.7,quickim01
