PLAYER_ID,PLAYER_NAME,Pos,Age,GP,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,WS/48,BPM,VORP,PER,SALARY
1631157,Ryan Rollins,PG,0.1,0.145,0.15,0.695,0.75,0.765,0.043,0.079,0.101,0.136,0.381,0.056,0.098,0.824,0.592,0.479,0.154,0.556,1719864
1630240,Saben Lee,PG,0.25,0.277,0.195,0.487,0.125,0.744,0.087,0.089,0.119,0.068,0.143,0.028,0.086,0.63,0.547,0.38,0.138,0.443,
1630180,Saddiq Bey,SF,0.25,0.747,0.864,0.557,0.316,0.837,0.587,0.386,0.138,0.205,0.381,0.056,0.395,0.588,0.533,0.374,0.146,0.438,4556983
1630573,Sam Hauser,SF,0.35,0.94,0.578,0.597,0.424,0.895,0.13,0.287,0.092,0.091,0.238,0.083,0.259,0.889,0.575,0.416,0.252,0.436,1927896
1630241,Sam Merrill,SG,0.4,0.723,0.457,0.538,0.404,0.929,0.087,0.158,0.165,0.068,0.143,0.028,0.231,0.625,0.568,0.406,0.195,0.438,1997238
1630572,Sandro Mamukelashvili,C,0.25,0.542,0.251,0.631,0.297,0.735,0.217,0.218,0.101,0.091,0.095,0.083,0.118,0.648,0.556,0.393,0.154,0.473,2019706
1630583,Santi Aldama,PF,0.2,0.723,0.698,0.582,0.349,0.621,0.261,0.455,0.211,0.25,0.333,0.25,0.308,0.394,0.524,0.397,0.195,0.438,2194200
1628426,Sasha Vezenkov,PF,0.45,0.494,0.316,0.589,0.375,0.8,0.152,0.158,0.046,0.068,0.238,0.056,0.156,0.602,0.546,0.387,0.146,0.44,6341464
1630703,Scoot Henderson,PG,0.0,0.735,0.751,0.515,0.325,0.819,0.196,0.228,0.495,0.773,0.381,0.056,0.403,0.231,0.432,0.319,0.0,0.39,9770880
1630567,Scottie Barnes,SG,0.15,0.711,0.922,0.636,0.341,0.781,0.522,0.584,0.56,0.636,0.619,0.417,0.573,0.491,0.546,0.451,0.382,0.523,8008680
1630590,Scotty Pippen Jr.,PG,0.2,0.241,0.66,0.66,0.417,0.745,0.217,0.208,0.431,0.614,0.81,0.139,0.372,0.444,0.54,0.417,0.171,0.481,
203552,Seth Curry,SG,0.7,0.518,0.364,0.525,0.352,0.903,0.087,0.109,0.092,0.114,0.238,0.028,0.147,0.667,0.5,0.354,0.122,0.395,4000000
1641754,Seth Lundy,SF,0.2,0.096,0.144,0.315,0.231,0.75,0.022,0.069,0.0,0.023,0.0,0.0,0.046,0.537,0.394,0.223,0.13,0.264,
1631101,Shaedon Sharpe,SG,0.05,0.373,0.874,0.544,0.333,0.824,0.283,0.366,0.266,0.523,0.429,0.111,0.458,0.245,0.486,0.361,0.122,0.415,6313800
