PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,SALARY
202330,Gordon Hayward,0.602,0.642,0.322,0.335,0.621,0.146,0.153,0.411,0.167,0.207,0.152,0.277,0.255,0.284,0.295,0.381,0.083,0.282,0.481,33319397
1641711,Gradey Dick,0.711,0.553,0.278,0.314,0.569,0.312,0.339,0.365,0.069,0.078,0.109,0.178,0.161,0.101,0.182,0.286,0.0,0.245,0.31,4536720
1629684,Grant Williams,0.904,0.738,0.313,0.339,0.61,0.354,0.373,0.375,0.137,0.155,0.239,0.307,0.307,0.211,0.318,0.286,0.139,0.297,0.454,12405000
1628960,Grayson Allen,0.892,0.885,0.391,0.386,0.668,0.563,0.5,0.461,0.167,0.172,0.13,0.327,0.285,0.275,0.295,0.429,0.167,0.389,0.764,8925000
1630535,Greg Brown III,0.06,0.166,0.07,0.076,0.609,0.042,0.042,0.333,0.069,0.129,0.109,0.099,0.109,0.064,0.159,0.0,0.194,0.072,0.532,
1630611,Gui Santos,0.265,0.214,0.104,0.102,0.681,0.083,0.102,0.37,0.069,0.06,0.152,0.139,0.153,0.055,0.068,0.095,0.028,0.104,0.634,1029483
1628977,Hamidou Diallo,0.012,0.053,0.043,0.042,0.669,0.0,0.0,0.0,0.0,0.0,0.217,0.0,0.073,0.046,0.114,0.476,0.0,0.029,0.694,116075
203084,Harrison Barnes,0.976,0.765,0.365,0.377,0.635,0.375,0.398,0.387,0.186,0.207,0.174,0.218,0.219,0.11,0.159,0.333,0.028,0.352,0.556,17000000
1628385,Harry Giles III,0.265,0.104,0.087,0.093,0.616,0.021,0.051,0.214,0.029,0.052,0.109,0.079,0.095,0.028,0.068,0.048,0.028,0.069,0.519,
1629312,Haywood Highsmith,0.783,0.543,0.2,0.212,0.622,0.25,0.246,0.396,0.029,0.043,0.217,0.218,0.234,0.101,0.114,0.381,0.139,0.176,0.606,1902137
1630929,Henri Drell,0.036,0.19,0.087,0.106,0.535,0.104,0.127,0.333,0.029,0.043,0.065,0.079,0.073,0.092,0.114,0.238,0.083,0.081,0.671,
1630529,Herbert Jones,0.904,0.805,0.339,0.326,0.667,0.312,0.305,0.418,0.176,0.181,0.217,0.257,0.263,0.239,0.273,0.667,0.222,0.317,0.741,12015150
1641816,Hunter Tyson,0.205,0.061,0.035,0.047,0.535,0.042,0.068,0.286,0.0,0.0,0.022,0.04,0.036,0.009,0.023,0.048,0.0,0.032,0.62,1119563
1630641,Ibou Badji,0.253,0.265,0.052,0.042,0.851,0.0,0.0,0.0,0.029,0.043,0.196,0.139,0.168,0.055,0.159,0.048,0.25,0.043,0.412,
1630193,Immanuel Quickley,0.807,0.77,0.496,0.555,0.581,0.521,0.542,0.395,0.304,0.31,0.065,0.356,0.277,0.45,0.341,0.333,0.028,0.49,0.579,4171548
1630171,Isaac Okoro,0.819,0.719,0.296,0.297,0.656,0.25,0.263,0.391,0.127,0.172,0.217,0.198,0.219,0.174,0.182,0.381,0.139,0.271,0.63,8920795
1628392,Isaiah Hartenstein,0.892,0.666,0.27,0.208,0.862,0.0,0.0,0.333,0.147,0.181,0.717,0.505,0.606,0.229,0.273,0.571,0.306,0.225,0.852,9245121
1630543,Isaiah Jackson,0.711,0.332,0.226,0.165,0.89,0.0,0.008,0.0,0.118,0.147,0.348,0.238,0.292,0.073,0.159,0.286,0.278,0.184,0.625,2696280
1630198,Isaiah Joe,0.928,0.484,0.243,0.263,0.613,0.396,0.381,0.416,0.059,0.06,0.087,0.188,0.168,0.119,0.136,0.286,0.083,0.236,0.81,1997238
1630587,Isaiah Livers,0.265,0.535,0.148,0.212,0.462,0.208,0.28,0.286,0.049,0.069,0.152,0.139,0.153,0.101,0.159,0.286,0.056,0.144,0.199,1836096
1630600,Isaiah Mobley,0.108,0.182,0.087,0.102,0.558,0.062,0.085,0.3,0.0,0.009,0.065,0.069,0.073,0.055,0.045,0.095,0.0,0.066,0.463,
1630191,Isaiah Stewart,0.542,0.816,0.348,0.352,0.652,0.312,0.322,0.383,0.137,0.155,0.348,0.495,0.482,0.147,0.318,0.19,0.222,0.314,0.468,5266713
202738,Isaiah Thomas,0.06,0.075,0.043,0.072,0.402,0.062,0.059,0.5,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.037,0.495,301795
1631209,Isaiah Wong,0.0,0.104,0.087,0.127,0.446,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.37,
202397,Ish Smith,0.506,0.449,0.13,0.157,0.56,0.021,0.017,0.5,0.01,0.009,0.065,0.149,0.131,0.312,0.25,0.19,0.028,0.092,0.301,2019706
1630688,Ish Wainright,0.12,0.142,0.052,0.093,0.391,0.125,0.153,0.35,0.02,0.017,0.065,0.099,0.095,0.009,0.045,0.19,0.028,0.061,0.583,1927896
1627826,Ivica Zubac,0.807,0.695,0.435,0.322,0.869,0.0,0.0,0.0,0.176,0.207,0.63,0.624,0.672,0.128,0.273,0.143,0.333,0.337,0.727,10933333
1631167,Izaiah Brockington,0.0,0.08,0.174,0.212,0.535,0.0,0.085,0.0,0.0,0.0,0.217,0.099,0.146,0.0,0.0,0.0,0.0,0.115,0.741,
1631120,JD Davison,0.084,0.12,0.052,0.064,0.558,0.083,0.076,0.429,0.039,0.043,0.065,0.099,0.095,0.119,0.068,0.048,0.028,0.058,0.736,
1630550,JT Thor,0.747,0.321,0.113,0.123,0.585,0.083,0.11,0.346,0.02,0.026,0.152,0.158,0.168,0.046,0.045,0.095,0.111,0.092,0.565,1836096
1629630,Ja Morant,0.096,0.933,0.774,0.801,0.631,0.333,0.483,0.275,0.569,0.612,0.152,0.485,0.409,0.743,0.682,0.381,0.167,0.723,0.657,34005250
201580,JaVale McGee,0.542,0.187,0.148,0.123,0.801,0.0,0.017,0.143,0.059,0.086,0.196,0.178,0.197,0.037,0.159,0.143,0.111,0.115,0.611,4368030
1631095,Jabari Smith Jr.,0.904,0.842,0.435,0.466,0.608,0.375,0.424,0.363,0.196,0.207,0.391,0.624,0.591,0.147,0.273,0.333,0.222,0.395,0.551,9326520
1631133,Jabari Walker,0.855,0.62,0.287,0.301,0.616,0.125,0.161,0.295,0.176,0.207,0.457,0.495,0.518,0.092,0.205,0.286,0.083,0.256,0.384,1719864
1631298,Jack White,0.036,0.414,0.043,0.169,0.167,0.104,0.212,0.2,0.0,0.0,0.217,0.198,0.219,0.028,0.114,0.476,0.083,0.043,0.278,600000
1631367,Jacob Gilyard,0.482,0.444,0.13,0.157,0.535,0.25,0.263,0.405,0.0,0.0,0.043,0.089,0.08,0.303,0.159,0.381,0.028,0.121,0.407,
1631210,Jacob Toppin,0.096,0.102,0.052,0.042,0.744,0.021,0.034,0.25,0.02,0.017,0.065,0.04,0.058,0.028,0.023,0.0,0.028,0.04,0.519,
1630702,Jaden Hardy,0.867,0.353,0.235,0.28,0.545,0.229,0.263,0.362,0.078,0.086,0.065,0.149,0.131,0.138,0.182,0.143,0.028,0.21,0.523,1719864
1631093,Jaden Ivey,0.916,0.759,0.47,0.534,0.574,0.333,0.407,0.336,0.284,0.336,0.239,0.228,0.248,0.349,0.568,0.333,0.139,0.444,0.394,7614480
1630183,Jaden McDaniels,0.855,0.77,0.374,0.369,0.655,0.25,0.297,0.337,0.078,0.095,0.174,0.228,0.226,0.128,0.273,0.429,0.167,0.303,0.704,3901399
1630531,Jaden Springer,0.578,0.265,0.104,0.127,0.534,0.042,0.085,0.208,0.069,0.078,0.152,0.089,0.117,0.083,0.159,0.333,0.083,0.095,0.574,2226240
203109,Jae Crowder,0.59,0.607,0.2,0.229,0.565,0.25,0.28,0.349,0.049,0.06,0.13,0.257,0.234,0.119,0.114,0.381,0.056,0.179,0.537,2019706
1630256,Jae'Sean Tate,0.771,0.414,0.148,0.148,0.632,0.083,0.102,0.299,0.039,0.052,0.196,0.208,0.219,0.092,0.136,0.286,0.056,0.118,0.657,6500000
1630186,Jahmi'us Ramsey,0.072,0.452,0.226,0.25,0.588,0.188,0.263,0.273,0.069,0.078,0.13,0.257,0.226,0.101,0.227,0.476,0.0,0.193,0.417,
1631170,Jaime Jaquez Jr.,0.892,0.743,0.391,0.394,0.655,0.188,0.229,0.322,0.186,0.198,0.239,0.267,0.277,0.239,0.341,0.476,0.083,0.343,0.667,3510600
