PLAYER_ID,PLAYER_NAME,Pos,Age,GP,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,WS/48,BPM,VORP,PER,SALARY
1631173,Terquavion Smith,PG,21,0.181,0.131,0.391,0.371,0.6,0.0,0.03,0.073,0.091,0.238,0.0,0.095,0.583,0.676,0.578,-0.353,0.643,
1626179,Terry Rozier,PG,29,0.723,0.882,0.443,0.363,0.869,0.13,0.347,0.514,0.386,0.476,0.083,0.571,0.38,0.719,0.592,1.143,0.689,23205221
1630678,Terry Taylor,PF,24,0.361,0.152,0.513,0.222,0.8,0.109,0.059,0.028,0.045,0.095,0.028,0.043,0.625,0.697,0.5,-0.441,0.556,2019706
201152,Thaddeus Young,PF,35,0.386,0.345,0.602,0.2,0.5,0.304,0.168,0.156,0.114,0.333,0.056,0.121,0.546,0.769,0.568,-0.265,0.663,8638413
203648,Thanasis Antetokounmpo,PF,31,0.398,0.112,0.533,0.2,0.5,0.043,0.02,0.046,0.091,0.095,0.028,0.026,0.546,0.612,0.437,-0.617,0.47,2019706
1630177,Theo Maledon,PG,22,0.193,0.324,0.286,0.2,0.9,0.043,0.119,0.147,0.25,0.19,0.0,0.101,0.426,0.493,0.361,-0.881,0.428,
1628418,Thomas Bryant,C,26,0.446,0.299,0.577,0.2,0.872,0.239,0.267,0.055,0.136,0.143,0.111,0.164,0.616,0.811,0.555,-0.265,0.72,2528233
203501,Tim Hardaway Jr.,SF,31,0.94,0.706,0.402,0.353,0.852,0.065,0.287,0.165,0.205,0.238,0.028,0.415,0.611,0.676,0.506,-0.881,0.593,17897728
1641851,Timmy Allen,SF,24,0.048,0.66,0.261,0.2,0.5,0.174,0.257,0.092,0.091,0.381,0.0,0.075,0.0,0.579,0.346,-0.705,0.383,
202699,Tobias Harris,PF,31,0.831,0.893,0.487,0.353,0.878,0.239,0.525,0.284,0.295,0.476,0.194,0.496,0.75,0.751,0.58,1.055,0.674,39270150
1628470,Torrey Craig,SF,33,0.627,0.519,0.43,0.392,0.75,0.283,0.277,0.101,0.136,0.286,0.111,0.164,0.444,0.715,0.523,-0.441,0.569,2528233
1641787,Tosan Evbuomwan,SF,22,0.193,0.567,0.507,0.375,0.68,0.239,0.248,0.083,0.114,0.19,0.083,0.17,0.255,0.698,0.504,-0.529,0.552,135120
1641739,Toumani Camara,PF,23,0.831,0.652,0.45,0.337,0.758,0.435,0.287,0.11,0.273,0.429,0.139,0.216,0.477,0.681,0.502,-0.881,0.565,1119563
1629027,Trae Young,PG,25,0.639,0.952,0.43,0.373,0.855,0.087,0.228,0.991,1.0,0.619,0.056,0.741,0.505,0.744,0.613,1.495,0.744,40064220
1631218,Trayce Jackson-Davis,PF,23,0.807,0.433,0.702,0.2,0.561,0.435,0.297,0.11,0.159,0.19,0.306,0.228,0.625,0.84,0.617,0.791,0.769,1119563
1630200,Tre Jones,PG,24,0.916,0.733,0.505,0.335,0.856,0.174,0.297,0.569,0.341,0.476,0.028,0.288,0.588,0.74,0.555,0.351,0.641,9895833
1630544,Tre Mann,PG,22,0.482,0.634,0.459,0.373,0.763,0.109,0.307,0.367,0.364,0.571,0.028,0.268,0.458,0.684,0.537,-0.265,0.622,3191400
1630570,Trendon Watford,PF,23,0.747,0.353,0.527,0.397,0.794,0.174,0.228,0.119,0.227,0.19,0.083,0.199,0.546,0.729,0.553,-0.177,0.659,2019706
1630235,Trent Forrest,SG,25,0.446,0.281,0.378,0.2,0.765,0.065,0.109,0.22,0.114,0.143,0.028,0.063,0.486,0.651,0.477,-0.705,0.533,533945
1630243,Trevelin Queen,SG,26,0.157,0.305,0.368,0.2,0.75,0.043,0.119,0.119,0.114,0.238,0.111,0.084,0.574,0.682,0.496,-0.529,0.522,
1641998,Trey Jemison,C,24,0.289,0.604,0.551,0.2,0.84,0.565,0.277,0.101,0.318,0.238,0.306,0.196,0.398,0.7,0.463,-0.881,0.587,
1626168,Trey Lyles,PF,28,0.687,0.524,0.445,0.384,0.7,0.239,0.337,0.11,0.159,0.143,0.083,0.207,0.745,0.727,0.541,-0.177,0.589,8000000
1630530,Trey Murphy III,SF,23,0.675,0.783,0.443,0.38,0.815,0.152,0.416,0.202,0.136,0.429,0.139,0.427,0.815,0.786,0.611,1.231,0.67,3359280
202684,Tristan Thompson,C,32,0.578,0.289,0.613,0.2,0.5,0.326,0.208,0.092,0.136,0.095,0.083,0.095,0.588,0.749,0.535,-0.353,0.626,2019706
1641774,Tristan Vukcevic,C,20,0.108,0.398,0.433,0.278,0.773,0.13,0.297,0.119,0.227,0.238,0.194,0.245,0.75,0.67,0.492,-0.529,0.626,2424892
1628972,Troy Brown Jr.,SF,24,0.699,0.364,0.372,0.333,0.865,0.087,0.198,0.092,0.114,0.19,0.028,0.121,0.5,0.673,0.512,-0.529,0.531,4000000
1629660,Ty Jerome,SG,26,0.012,0.187,0.5,0.2,0.5,0.109,0.0,0.138,0.114,0.0,0.0,0.058,0.278,0.665,0.467,-0.441,0.509,2439025
1631102,TyTy Washington Jr.,PG,22,0.12,0.126,0.3,0.333,0.5,0.022,0.04,0.046,0.045,0.143,0.0,0.037,0.546,0.546,0.402,-0.529,0.454,2320440
1629639,Tyler Herro,SG,24,0.494,0.885,0.441,0.396,0.856,0.109,0.475,0.413,0.5,0.333,0.028,0.599,0.634,0.695,0.578,0.439,0.659,27000000
1630169,Tyrese Haliburton,PG,23,0.819,0.85,0.477,0.364,0.855,0.109,0.337,1.0,0.523,0.571,0.194,0.579,0.801,0.83,0.697,3.0,0.8,5808435
1630178,Tyrese Maxey,PG,23,0.831,0.992,0.45,0.373,0.868,0.109,0.317,0.569,0.386,0.476,0.139,0.746,0.801,0.779,0.623,2.551,0.735,4343920
1626145,Tyus Jones,PG,27,0.783,0.773,0.489,0.414,0.8,0.065,0.238,0.67,0.227,0.524,0.083,0.346,0.255,0.743,0.576,0.703,0.674,14000000
1628962,Udoka Azubuike,C,24,0.181,0.179,0.696,0.2,0.5,0.152,0.129,0.018,0.068,0.048,0.111,0.063,0.463,0.729,0.5,-0.441,0.596,
1630586,Usman Garuba,PF,21,0.06,0.07,0.2,0.2,0.5,0.109,0.069,0.018,0.068,0.095,0.139,0.014,0.519,0.49,0.35,-0.441,0.498,2600008
203995,Vasilije Micic,PG,30,0.711,0.513,0.43,0.279,0.813,0.043,0.119,0.404,0.386,0.238,0.028,0.202,0.546,0.638,0.473,-1.145,0.567,7723000
1641705,Victor Wembanyama,C,20,0.843,0.783,0.465,0.325,0.796,0.5,0.832,0.358,0.841,0.571,1.0,0.617,0.509,0.713,0.664,2.903,0.796,12160680
1631246,Vince Williams Jr.,SG,23,0.614,0.727,0.446,0.378,0.8,0.239,0.436,0.312,0.409,0.429,0.194,0.288,0.519,0.721,0.549,-0.001,0.606,2232308
1630249,Vit Krejci,PG,23,0.253,0.647,0.49,0.412,0.833,0.109,0.188,0.211,0.205,0.286,0.083,0.176,0.602,0.682,0.49,-0.617,0.524,
1631117,Walker Kessler,C,22,0.759,0.612,0.654,0.211,0.602,0.565,0.485,0.083,0.227,0.238,0.667,0.233,0.495,0.762,0.58,0.527,0.702,2831160
1628976,Wendell Carter Jr.,C,24,0.651,0.674,0.525,0.374,0.694,0.435,0.485,0.156,0.273,0.286,0.139,0.317,0.644,0.781,0.58,0.439,0.663,13050000
1631111,Wendell Moore Jr.,SG,22,0.289,0.07,0.5,0.2,0.5,0.0,0.05,0.018,0.045,0.095,0.0,0.02,0.593,0.678,0.508,-0.441,0.528,2421720
1629117,Wenyen Gabriel,PF,26,0.048,0.422,0.364,0.2,0.5,0.304,0.356,0.055,0.364,0.19,0.111,0.098,0.454,0.491,0.318,-0.617,0.411,
202083,Wesley Matthews,SG,37,0.422,0.297,0.351,0.348,0.75,0.065,0.119,0.055,0.045,0.19,0.083,0.089,0.514,0.674,0.508,-0.529,0.52,2019706
1629875,Xavier Moon,SG,29,0.157,0.217,0.326,0.2,0.5,0.13,0.069,0.138,0.091,0.095,0.056,0.069,0.481,0.595,0.443,-0.529,0.519,
1629139,Yuta Watanabe,SF,29,0.398,0.356,0.353,0.294,0.588,0.065,0.129,0.037,0.136,0.19,0.056,0.098,0.514,0.613,0.437,-0.881,0.456,2346614
1628380,Zach Collins,C,26,0.819,0.58,0.484,0.32,0.753,0.37,0.366,0.257,0.432,0.238,0.222,0.323,0.338,0.683,0.523,-0.441,0.633,7700000
203897,Zach LaVine,SG,28,0.289,0.922,0.452,0.349,0.854,0.065,0.475,0.358,0.477,0.381,0.083,0.562,0.431,0.707,0.564,-0.001,0.648,40064220
1630285,Zavier Simpson,PG,26,0.072,0.607,0.315,0.294,0.75,0.13,0.228,0.33,0.318,0.476,0.111,0.173,0.412,0.573,0.447,-0.617,0.485,
1630192,Zeke Nnaji,PF,23,0.687,0.254,0.463,0.261,0.677,0.239,0.109,0.055,0.114,0.143,0.194,0.092,0.468,0.728,0.49,-0.617,0.598,4306281
1630533,Ziaire Williams,SF,22,0.602,0.532,0.397,0.307,0.827,0.152,0.277,0.138,0.295,0.333,0.056,0.236,0.38,0.633,0.475,-0.969,0.541,4810200
1629627,Zion Williamson,PF,23,0.831,0.832,0.57,0.333,0.702,0.37,0.406,0.459,0.636,0.524,0.194,0.66,0.694,0.797,0.637,2.463,0.791,34005250
